Test Case ID;Module;Description;Preconditions;Steps;Expected Result;;Actual Result;Status;
25;State;Перевірка валідації поля «State» на введення спеціальних символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, PIN, Mobile Number, E-mail.;"1. Ввести спеціальні символи  !@#$% у поле «State».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Special characters are not allowed"".";;;;
26;State;Перевірка валідації поля «State» на введення пробілу на початку слова;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, PIN, Mobile Number, E-mail.;"1. Ввести назву штату/області, почавши з пробілу (наприклад, Kyivska).
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
27;State;Перевірка поля «State» на введення валідних даних;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, PIN, Mobile Number, E-mail.;"1. Ввести коректну назву штату/області літерами (наприклад, Kyivska).
2. Натиснути кнопку «Submit».";Помилки валідації відсутні. Форма успішно відправляється, система створює нового клієнта.;;;;
28;Pin;Перевірка валідації пустого поля «PIN»;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Залишити поле «PIN» пустим.
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""PIN Code must not be blank"".";;;;
29;Pin;Перевірка валідації поля «PIN» на введення літер;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести літери (наприклад, abcdef) у поле «PIN».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Characters are not allowed"".";;;;
30;Pin;Перевірка валідації поля «PIN» на введення спеціальних символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести спеціальні символи (наприклад, !@#$%^) у поле «PIN».


2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Special characters are not allowed"".";;;;
31;Pin;Перевірка валідації поля «PIN» на недостатню кількість символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести менше ніж 6 цифр (наприклад, 12345) у поле «PIN».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""PIN Code must have 6 digits"".";;;;
32;Pin;Перевірка валідації поля «PIN» на надмірну кількість символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести більше ніж 6 цифр (наприклад, 1234567) у поле «PIN».


2. Натиснути кнопку «Submit».";"Система блокує введення більше 6 символів (зайві символи не друкуються), або ж виводиться помилка: ""PIN Code must have 6 digits""";;;;
33;Pin;Перевірка валідації поля «PIN» на введення пробілу на початку;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести пробіл, а потім 5 цифр (наприклад, 12345) у поле «PIN».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
34;Pin;Перевірка поля «PIN» на введення валідних даних;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, Mobile Number, E-mail.;"1. Ввести рівно 6 коректних цифр (наприклад, 123456) у поле «PIN».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
35;Phone Number;Перевірка валідації пустого поля «Mobile Number»;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Залишити поле «Mobile Number» пустим.
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Mobile Number must not be blank"".";;;;
36;Phone Number;Перевірка валідації поля «Mobile Number» на введення літер;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести літери (наприклад, abcdefghij) у поле «Mobile Number».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Characters are not allowed"".";;;;
37;Phone Number;Перевірка валідації поля «Mobile Number» на введення спеціальних символів;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести спеціальні символи (наприклад, !@#$%^&*()) у поле «Mobile Number».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Special characters are not allowed"".";;;;
38;Phone Number;Перевірка валідації поля «Mobile Number» на пробіл на початку;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести пробіл, а потім цифри (наприклад, 123456789) у поле «Mobile Number».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
39;Phone Number;Перевірка валідації на недостатню кількість цифр;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести менше ніж 10 цифр (наприклад, 123456) у поле «Mobile Number».
2. Натиснути кнопку «Submit».";"З'являється повідомлення про помилку: ""Mobile Number must have 10 digits"" (або інша кількість згідно з SRS).";;;;
40;Phone Number;Перевірка створення клієнта з уже існуючим номером телефону (Дублікат);Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести номер телефону, що вже є в системі (0987654321), у поле «Mobile Number».
2. Натиснути кнопку «Submit».";"Форма не відправляється. З'являється повідомлення про помилку: ""Mobile Number already exists"" (або система не дозволяє створити дублікат).";;;;
41;Phone Number;Перевірка поля «Mobile Number» на введення валідних даних;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, E-mail.;"1. Ввести коректний унікальний номер із 10 цифр (наприклад, 0123456789) у поле «Mobile Number».
2. Натиснути кнопку «Submit».";Помилки валідації відсутні. Форма успішно відправляється, система створює нового клієнта.;;;;
42;E-mail;Перевірка валідації пустого поля «E-mail»;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;1. Залишити поле «E-mail» пустим.;"З'являється повідомлення про помилку: ""Email-ID must not be blank"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
43;E-mail;"Перевірка валідації поля «E-mail» без символу ""@""";Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;"1. Ввести адресу без ""собачки"" (наприклад, testgmail.com) у поле «E-mail».";"З'являється повідомлення про помилку: ""Email-ID is not valid"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
44;E-mail;Перевірка валідації поля «E-mail» без домену (без крапки);Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;1. Ввести адресу без домену верхнього рівня (наприклад, test@gmail) у поле «E-mail».;"З'являється повідомлення про помилку: ""Email-ID is not valid"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
45;E-mail;Перевірка валідації поля «E-mail» на пробіл на початку;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;1. Ввести пробіл, а потім адресу (наприклад, test@gmail.com) у поле «E-mail».;"З'являється повідомлення про помилку: ""First character can not be space"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
46;E-mail;Перевірка валідації поля «E-mail» на пробіл всередині адреси;Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;1. Ввести адресу з пробілом (наприклад, te st@gmail.com) у поле «E-mail».;"З'являється повідомлення про помилку: ""Email-ID is not valid"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
47;E-mail;Перевірка створення клієнта з уже існуючим E-mail (Дублікат);Менеджер знаходиться на сторінці «Add New Customer». У базі вже існує клієнт з імейлом test.qa@gmail.com. Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;1. Ввести вже існуючий імейл (test.qa@gmail.com) у поле «E-mail».;"Форма не відправляється. З'являється повідомлення про помилку: ""Email-ID already exists"".";;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
48;E-mail;Перевірка поля «E-mail» на введення валідних даних (Позитивний тест);Менеджер знаходиться на сторінці «Add New Customer». Наступні поля заповнені валідними даними: Customer Name, Gender, Date of Birth, Address, City, State, PIN, Mobile Number.;;Помилки валідації відсутні. Форма успішно відправляється, система генерує Customer ID та показує повідомлення про успішну реєстрацію.;;;;
;;;;1. Ввести коректну та унікальну адресу (наприклад, new.customer@gmail.com) у поле «E-mail».;;;;;
;;;;2. Натиснути кнопку «Submit».;;;;;
